2006P01;      452;      421;      429;       17
2006P02;      374;      399;       55;       18
2006P03;      360;      200;       61;       24
2006P04;      221;      281;      189;       19
2006P05;      185;      268;      440;       11
2006P06;      349;      137;       97;       17
2006P07;      138;      190;         ;       14
2006P08;      209;      392;       42;       16
2006P09;      279;      230;        0;       39
2006P10;      392;      255;      302;       67
2006P11;      401;      189;      235;       59
2006P12;      433;      267;        0;       33
2006P13;      376;      241;        0;       30
2007P01;      318;      426;     1288;       24
2007P02;      281;      430;      551;        7
2007P03;      292;      261;      124;       24
2007P04;      649;      305;       30;      136
2007P05;      673;      396;       38;       39
2007P06;      316;      316;        0;       28
2007P07;      321;      835;        0;       21
2007P08;      391;      188;      402;       98
2007P09;      302;      257;        0;       31
2007P10;      311;      355;      296;       43
2007P11;      420;      215;        0;       79
2007P12;      881;      276;        0;       82
2007P13;      269;      202;        0;       19
2008P01;      302;     1047;      557;       39
2008P02;      326;      335;      327;       30
2008P03;      355;      180;      306;       40
2008P04;      831;      387;      284;      165
2008P05;      462;      236;      245;       41
2008P06;      285;      224;      109;       54
2008P07;      292;      460;      174;       53
2008P08;      325;      444;      203;       85
2008P09;      624;      242;      181;       88
2008P10;      466;      211;     1026;       99
2008P11;      419;      766;      307;      136
2008P12;      367;      267;      176;       79
2008P13;      429;      234;      501;       55
2009P01;     1210;      379;      198;      573
2009P02;      309;      824;      282;       55
2009P03;      219;      155;      102;       42
2009P04;      223;      147;      237;       43
2009P05;      396;      199;      121;       94
2009P06;      328;      180;       40;       93
2009P07;      519;      264;      392;      115
2009P08;      309;      232;      140;       54
2009P09;      244;      442;      250;       83
2009P10;      357;      127;      390;      114
2009P11;      302;      250;      367;       94
2009P12;      291;      204;      273;       63
2009P13;      371;      233;      300;      109
2010P01;      175;      252;        9;       31
2010P02;      411;      233;     199;      135;
2010P03;      232;      292;       90;       62
2010P04;      362;      208;      178;      192
2010P05;      360;      294;      106;      231
2010P06;      338;      186;      156;      255
2010P07;      322;      212;       34;      228
2010P08;      359;      250;       84;      247
2010P09;      345;      230;      229;      283
2010P10;      316;      175;      172;      240
2010P11;      639;      223;      210;      504
2010P12;      421;      189;      193;      324
2010P13;      612;      348;      123;      475
2011P01;      345;      314;      479;      271
2011P02;      383;      574;      393;      210
2011P03;      535;      340;      633;      448
2011P04;      307;      416;      850;      195
2011P05;      570;      225;     1537;      457
2011P06;      819;      227;      525;      681
2011P07;      471;      270;      345;      358
2011P08;      240;      667;      591;       88
2011P09;      356;      346;      207;      208
2011P10;      684;      264;      390;      372
2011P11;      293;      146;      349;      214
2011P12;      205;      227;      314;      174
2011P13;      398;      289;      210;      296
2012P01;      672;      324;      373;      424
2012P02;      564;      344;      512;      181
2012P03;      329;      314;      705;      115
2012P04;      395;      367;       68;       84
2012P05;      390;      347;        0;       98
2012P06;      268;      212;       86;       97
2012P07;      507;      280;      517;      134
2012P08;      274;      192;      398;       16
2012P09;      289;      158;        0;      135
2012P10;      733;      202;      325;      500
2012P11;      527;      161;       55;      349
2012P12;      413;      173;      142;      219
2012P13;      319;      253;        0;      211
2013P01;      385;     1012;      392;      184
