2006P01;      452;      421;      429;       17
2006P02;      374;      399;       55;       18
2006P03;      360;      200;       61;       24
2006P04;      221;      281;      189;       19
2006P05;      185;      268;      440;       11
2006P06;      349;      137;       97;       17
2006P07;      138;      190;         ;       14
2006P08;      209;      392;       42;       16
2006P09;      279;      230;        0;       39
2006P10;      392;      255;      302;       67
2006P11;      401;      189;      235;       59
2006P12;      433;      267;        0;       33
2006P13;      376;      241;        0;       30
